2018,rap,134,ar,1
2018,edm,133,ar,2
2018,reggaeton,102,ar,3
2019,edm,131,ar,1
2019,rap,129,ar,2
2019,reggaeton,104,ar,3
2020,edm,119,ar,1
2020,rap,112,ar,2
2020,reggaeton,100,ar,3
2021,edm,117,ar,1
2021,rap,110,ar,2
2021,pop,79,ar,3
2022,edm,106,ar,1
2022,rap,101,ar,2
2022,pop,74,ar,3
2018,pop,120,au,1
2018,rap,71,au,2
2018,edm,65,au,3
2019,pop,134,au,1
2019,edm,53,au,2
2019,rap,41,au,3
2020,pop,129,au,1
2020,edm,52,au,2
2020,rap,49,au,3
2021,pop,121,au,1
2021,rap,42,au,2
2021,edm,33,au,3
2022,pop,122,au,1
2022,hip hop,41,au,2
2022,rap,38,au,3
2018,pop,113,be,1
2018,rap,67,be,2
2018,edm,62,be,3
2019,pop,129,be,1
2019,edm,48,be,2
2019,rap,42,be,3
2020,pop,129,be,1
2020,rap,59,be,2
2020,edm,51,be,3
2021,pop,122,be,1
2021,hip hop,44,be,2
2021,edm,35,be,3
2022,pop,126,be,1
2022,edm,41,be,2
2022,hip hop,40,be,3
2018,pop,112,bg,1
2018,rap,95,bg,2
2018,hip hop,67,bg,3
2019,pop,136,bg,1
2019,hip hop,52,bg,2
2019,edm,42,bg,3
2020,pop,121,bg,1
2020,rap,64,bg,2
2020,edm,57,bg,3
2021,pop,123,bg,1
2021,rap,60,bg,2
2021,edm,51,bg,3
2022,pop,132,bg,1
2022,hip hop,42,bg,2
2022,rap,40,bg,3
2018,pop,118,br,1
2018,country/folk,85,br,2
2018,funk,67,br,3
2019,pop,121,br,1
2019,country/folk,87,br,2
2019,funk,66,br,3
2020,pop,126,br,1
2020,country/folk,90,br,2
2020,funk,57,br,3
2021,pop,122,br,1
2021,country/folk,88,br,2
2021,funk,58,br,3
2022,pop,113,br,1
2022,funk,75,br,2
2022,country/folk,74,br,3
2018,rap,104,ca,1
2018,pop,97,ca,2
2018,hip hop,80,ca,3
2019,pop,111,ca,1
2019,rap,61,ca,2
2019,edm,56,ca,3
2020,pop,111,ca,1
2020,rap,64,ca,2
2020,edm,46,ca,3
2021,pop,111,ca,1
2021,rap,62,ca,2
2021,hip hop,43,ca,3
2022,pop,119,ca,1
2022,rap,51,ca,2
2022,hip hop,47,ca,3
2018,pop,117,gb,1
2018,rap,71,gb,2
2018,edm,59,gb,3
2019,pop,115,gb,1
2019,edm,48,gb,2
2019,rap,39,gb,3
2020,pop,114,gb,1
2020,rap,54,gb,2
2020,edm,52,gb,3
2021,pop,113,gb,1
2021,rap,38,gb,2
2021,hip hop,37,gb,3
2022,pop,112,gb,1
2022,hip hop,43,gb,2
2022,rap,40,gb,3
2018,pop,108,global,1
2018,rap,91,global,2
2018,hip hop,67,global,3
2019,pop,121,global,1
2019,edm,66,global,2
2019,rap,62,global,3
2020,pop,113,global,1
2020,rap,67,global,2
2020,edm,58,global,3
2021,pop,116,global,1
2021,rap,54,global,2
2021,edm,41,global,3
2022,pop,113,global,1
2022,rap,53,global,2
2022,edm,44,global,3
2018,pop,137,hk,1
2018,edm,66,hk,2
2018,rap,46,hk,3
2019,pop,139,hk,1
2019,edm,45,hk,2
2019,rap,33,hk,3
2020,pop,137,hk,1
2020,rap,28,hk,2
2020,edm,23,hk,3
2021,pop,145,hk,1
2021,hip hop,16,hk,2
2021,r&b,11,hk,3
2022,pop,150,hk,1
2022,hip hop,10,hk,2
2022,r&b,5,hk,3
2018,rap,125,hn,1
2018,edm,124,hn,2
2018,reggaeton,115,hn,3
2019,edm,126,hn,1
2019,rap,125,hn,2
2019,reggaeton,123,hn,3
2020,reggaeton,128,hn,1
2020,rap,128,hn,1
2020,edm,124,hn,3
2021,rap,101,hn,1
2021,edm,100,hn,2
2021,reggaeton,99,hn,3
2022,rap,106,hn,1
2022,edm,104,hn,2
2022,reggaeton,102,hn,3
2018,pop,134,jp,1
2018,rock,52,jp,2
2018,edm,34,jp,3
2019,pop,144,jp,1
2019,rock,60,jp,2
2019,edm,21,jp,3
2020,pop,146,jp,1
2020,rock,48,jp,2
2020,edm,10,jp,3
2021,pop,142,jp,1
2021,rock,35,jp,2
2021,singer-songwriter,17,jp,3
2022,pop,147,jp,1
2022,rock,41,jp,2
2022,singer-songwriter,13,jp,3
2018,rap,104,mx,1
2018,edm,104,mx,1
2018,pop,96,mx,3
2019,pop,106,mx,1
2019,edm,101,mx,2
2019,rap,98,mx,3
2020,reggaeton,113,mx,1
2020,rap,112,mx,2
2020,edm,109,mx,3
2021,pop,80,mx,1
2021,rap,78,mx,2
2021,edm,75,mx,3
2022,rap,66,mx,1
2022,edm,66,mx,1
2022,reggaeton,63,mx,3
2018,pop,139,my,1
2018,edm,63,my,2
2018,rap,41,my,3
2019,pop,143,my,1
2019,edm,43,my,2
2019,rap,26,my,3
2020,pop,142,my,1
2020,rap,34,my,2
2020,edm,33,my,3
2021,pop,141,my,1
2021,rap,20,my,2
2021,edm,20,my,2
2021,classical/orchestra,20,my,2
2022,pop,143,my,1
2022,classical/orchestra,20,my,2
2022,indie/alternative,16,my,3
2018,pop,133,no,1
2018,edm,71,no,2
2018,rap,55,no,3
2019,pop,137,no,1
2019,edm,64,no,2
2019,rap,35,no,3
2020,pop,134,no,1
2020,edm,63,no,2
2020,rap,37,no,3
2021,pop,138,no,1
2021,edm,49,no,2
2021,rap,27,no,3
2022,pop,132,no,1
2022,edm,44,no,2
2022,rap,41,no,3
2018,pop,120,ph,1
2018,edm,57,ph,2
2018,rap,39,ph,3
2019,pop,104,ph,1
2019,country/folk,44,ph,2
2019,edm,35,ph,3
2020,pop,104,ph,1
2020,rap,41,ph,2
2020,country/folk,33,ph,3
2021,pop,118,ph,1
2021,country/folk,34,ph,2
2021,rap,25,ph,3
2022,pop,110,ph,1
2022,country/folk,38,ph,2
2022,r&b,20,ph,3
2022,indie/alternative,20,ph,3
2018,pop,138,sg,1
2018,edm,68,sg,2
2018,rap,41,sg,3
2019,pop,142,sg,1
2019,edm,44,sg,2
2019,rap,23,sg,3
2020,pop,143,sg,1
2020,edm,30,sg,2
2020,rap,26,sg,3
2021,pop,140,sg,1
2021,edm,24,sg,2
2021,rap,23,sg,3
2022,pop,139,sg,1
2022,r&b,16,sg,2
2022,hip hop,16,sg,2
2018,pop,141,th,1
2018,hip hop,34,th,2
2018,edm,32,th,3
2019,pop,140,th,1
2019,edm,35,th,2
2019,rap,24,th,3
2020,pop,141,th,1
2020,indie/alternative,32,th,2
2020,rap,27,th,3
2021,pop,144,th,1
2021,indie/alternative,39,th,2
2021,rap,18,th,3
2022,pop,141,th,1
2022,indie/alternative,35,th,2
2022,rap,17,th,3
2022,rock,17,th,3
2018,pop,109,tr,1
2018,rap,77,tr,2
2018,edm,76,tr,3
2019,edm,103,tr,1
2019,rap,101,tr,2
2019,pop,86,tr,3
2020,edm,98,tr,1
2020,rap,96,tr,2
2020,pop,95,tr,3
2021,pop,90,tr,1
2021,rap,89,tr,2
2021,edm,78,tr,3
2022,rap,96,tr,1
2022,edm,77,tr,2
2022,pop,69,tr,3
2018,rap,125,us,1
2018,pop,92,us,2
2018,hip hop,90,us,3
2019,pop,95,us,1
2019,rap,74,us,2
2019,edm,56,us,3
2020,pop,102,us,1
2020,rap,73,us,2
2020,edm,49,us,3
2021,pop,104,us,1
2021,rap,75,us,2
2021,hip hop,47,us,3
2022,pop,109,us,1
2022,rap,55,us,2
2022,hip hop,37,us,3
